BEDRIJFSNAAM;VESTIGINGSPLAATS;UITGEKEERDE SUBSIDIEBEDRAG
VLASTUIN ROLLING EQUIPMENT B.V.;KESTEREN;963040
CIBT VISUMDIENST B.V.;'S-GRAVENHAGE;962740
SNOWWORLD LEISURE N.V.;ZOETERMEER;961420
VICENTRA B.V.;UTRECHT;960832
INAXTION B.V.;DORDRECHT;960656
EWALS CARGO CARE B.V.;TEGELEN;957500
NEW OFFICE CENTRE B.V.;ALMERE;957184
AVIS BUDGET AUTOVERHUUR B.V.;ROZENBURG NH;955648
RENT-ALL B.V.;BEMMEL;955400
UITGEVERIJ ZWIJSEN B.V.;TILBURG;955280
DMN MACHINEFABRIEK NOORDWIJKERHOUT  B.V.;NOORDWIJKERHOUT;948220
BOLLEGRAAF RECYCLING MACHINERY B.V.;APPINGEDAM;947684
B&F PALACE AMSTERDAM B.V.;AMSTERDAM;947388
HERACLES ALMELO B.V.;ALMELO;944400
ISS CATERING SERVICES B.V.;DE MEERN;944196
TATA STEEL NEDERLAND SERVICES B.V.;VELSEN-NOORD;943212
THERMEN BUSSLOO B.V.;VOORST GEM VOORST;939528
LOUWMAN MB B.V.;'S-GRAVENHAGE;934324
VEROGO B.V.;ROTTERDAM;932960
PROFCORE ZUID-LIMBURG B.V.;GELEEN;930184
